audience_status,rating_G,rating_NC17,rating_NR,rating_PG,rating_PG-13,rating_R,runtime_in_minutes,tomatometer_count,audience_rating,audience_count,audience_top_critics_count,audience_fresh_critics_count,audience_rotten_critics_count
1,0,0,1,0,0,0,4.51085950651685,30,76.0,514.0,14,30,0
0,0,0,0,0,0,1,4.605170185988092,97,58.0,54252.0,33,44,53
1,0,0,0,1,0,0,4.48863636973214,6,83.0,372.0,2,5,1
1,0,0,0,0,0,1,4.77912349311153,19,82.0,787.0,2,16,3
0,0,0,1,0,0,0,4.6913478822291435,19,38.0,12199.0,9,6,13
0,0,0,0,0,0,1,4.499809670330265,23,39.0,6789.0,5,2,21
0,0,0,0,0,1,0,4.553876891600541,19,58.0,54566.0,4,4,15
1,0,0,0,0,0,1,4.624972813284271,7,65.0,1819.0,1,3,4
0,0,0,0,0,0,1,4.406719247264253,10,42.0,8932.0,0,4,6
1,0,0,1,0,0,0,4.634728988229636,44,86.0,185.0,15,40,4
0,0,0,0,0,0,1,4.762173934797756,9,39.0,729.0,3,3,6
1,0,0,1,0,0,0,4.584967478670572,35,82.0,1920.0,13,27,8
1,0,0,1,0,0,0,4.90527477843843,25,73.0,591.0,13,18,7
0,0,0,0,0,1,0,4.762173934797756,140,26.0,17707.0,41,51,89
1,0,0,0,0,0,1,4.836281906951478,183,86.0,210470.0,40,147,36
1,0,0,0,0,0,1,4.795790545596741,74,66.0,4220.0,30,37,37
1,0,0,0,0,0,1,4.6443908991413725,123,76.0,8230.0,34,108,15
0,0,0,0,1,0,0,4.465908118654584,119,27.0,61870.0,37,24,95
1,0,0,0,0,0,1,4.465908118654584,29,62.0,867.0,15,26,3
1,0,0,0,0,0,1,4.499809670330265,18,70.0,10207.0,0,13,5
0,0,0,0,0,1,0,4.465908118654584,146,39.0,430500.0,30,30,116
0,0,0,0,0,0,1,4.564348191467836,29,58.0,2314.0,8,17,12
1,0,0,1,0,0,0,4.927253685157205,5,75.0,726.0,0,5,0
0,0,0,0,0,1,0,4.672828834461906,88,33.0,231609.0,24,23,65
1,0,0,1,0,0,0,4.955827057601261,9,87.0,7126.0,0,7,2
1,0,0,1,0,0,0,5.147494476813453,7,72.0,9317.0,5,7,0
1,0,0,0,1,0,0,4.574710978503383,7,70.0,918.0,1,3,4
1,0,0,0,1,0,0,4.532599493153256,47,81.0,176316.0,7,37,10
0,0,0,0,0,1,0,4.653960350157523,291,58.0,431599.0,54,189,102
0,0,0,0,0,0,1,4.418840607796598,24,54.0,51939.0,2,16,8
0,0,0,0,1,0,0,4.663439094112067,29,54.0,49902.0,4,18,11
1,0,0,1,0,0,0,4.499809670330265,22,63.0,31243.0,0,20,2
0,0,0,0,0,1,0,4.59511985013459,29,51.0,3738.0,13,2,27
1,0,0,0,1,0,0,5.117993812416755,10,88.0,4210.0,0,10,0
1,0,0,0,0,0,1,4.564348191467836,13,89.0,6769.0,4,9,4
0,0,0,1,0,0,0,4.382026634673881,7,39.0,124.0,0,3,4
1,1,0,0,0,0,0,3.8066624897703196,40,68.0,6248.0,16,18,22
1,0,0,0,0,0,1,4.653960350157523,23,70.0,1725.0,6,21,2
0,0,0,0,0,0,1,4.634728988229636,27,36.0,30299.0,8,3,24
0,0,0,0,0,1,0,4.624972813284271,82,57.0,3729.0,25,52,30
1,0,0,1,0,0,0,4.2626798770413155,41,90.0,185.0,8,40,1
1,0,0,1,0,0,0,4.584967478670572,6,83.0,329.0,1,6,0
0,0,0,1,0,0,0,4.543294782270004,20,55.0,81.0,6,19,1
0,0,0,1,0,0,0,4.418840607796598,7,43.0,20.0,1,3,4
1,0,0,0,0,0,1,4.605170185988092,5,66.0,4700.0,1,2,3
1,0,0,0,0,0,1,4.77912349311153,22,63.0,7691.0,1,17,5
1,0,0,0,0,0,1,4.61512051684126,6,63.0,191.0,5,3,3
1,0,0,1,0,0,0,4.48863636973214,7,66.0,1078.0,0,7,0
1,0,0,0,0,1,0,4.700480365792417,29,82.0,47824.0,7,28,1
1,0,0,0,0,0,1,4.875197323201151,27,71.0,7591.0,12,20,7
